qid,gt,pred_label,pred_sent
11,0,1,no
13,0,1,no
14,0,0,yes
22,0,0,yes
24,0,0,yes
32,0,0,yes
34,0,0,yes
36,1,1,no
38,1,1,no
40,1,1,no
42,1,1,no
46,0,1,no
47,0,0,yes
49,0,1,no
86,0,0,yes
87,0,1,no
121,0,0,yes
123,0,0,yes
158,1,1,no
160,1,1,no
162,0,0,yes
164,0,0,yes
178,0,0,yes
180,0,0,yes
186,1,1,no
188,1,1,no
198,0,0,yes
200,0,0,yes
222,0,1,no
224,0,0,yes
239,0,1,no
241,0,1,no
269,1,1,no
271,1,1,no
275,0,0,yes
277,0,0,yes
298,1,1,no
300,1,0,yes
302,12,205,choroid plexus
304,12,28,chest
306,13,205,choroid plexus
308,13,70,left kidney
310,0,0,yes
319,14,18,ct
321,14,338,posterior to gastric antrum
335,0,0,yes
393,55,70,left kidney
401,32,1,no
402,32,32,1
413,30,19,pancreas
414,30,19,pancreas
415,34,205,choroid plexus
417,34,205,choroid plexus
423,1,1,no
425,1,1,no
427,37,195,dwi
429,0,0,yes
431,38,237,blind ending loop of bowel arising from cecum
433,38,40,right
458,43,43,middle mogul
460,43,43,middle mogul
462,43,43,middle mogul
470,44,77,right lower lobe
472,44,40,right
475,0,1,no
485,0,0,yes
487,0,0,yes
493,1,0,yes
495,1,0,yes
503,93,1,no
513,1,0,yes
522,1,0,yes
524,1,1,no
531,0,0,yes
532,1,1,no
557,1,1,no
571,32,32,1
573,1,1,no
595,82,82,left
596,82,70,left kidney
598,0,0,yes
600,1,1,no
606,1,1,no
608,69,329,right subclavian vein
610,1,1,no
612,1,1,no
629,0,0,yes
631,75,40,right
633,0,1,no
648,80,10,axial
663,0,0,yes
709,90,439,both sides
711,0,1,no
713,1,0,yes
718,92,83,left lung
720,1,1,no
722,86,195,dwi
724,40,70,left kidney
726,94,70,left kidney
728,1,0,yes
733,82,70,left kidney
734,82,70,left kidney
750,1,1,no
751,0,1,no
759,1,1,no
763,1,1,no
773,307,129,pres
787,1,1,no
790,1,1,no
797,1,0,yes
809,10,10,axial
811,1,1,no
814,1,1,no
821,1,1,no
830,114,16,ring enhancing lesion
832,114,114,lateral ventricles
840,1,0,yes
842,1,1,no
874,1,1,no
900,0,0,yes
906,0,0,yes
908,0,0,yes
910,0,0,yes
912,0,0,yes
918,123,123,fat
920,123,123,fat
925,1,0,yes
926,1,0,yes
946,1,1,no
948,1,1,no
950,1,0,yes
951,1,0,yes
979,0,0,yes
981,0,0,yes
983,0,0,yes
985,0,0,yes
989,0,0,yes
991,0,0,yes
1007,0,0,yes
1009,0,0,yes
1011,1,1,no
1013,1,1,no
1046,0,0,yes
1048,0,0,yes
1050,130,130,cardiomegaly with pulmonary edema
1052,130,130,cardiomegaly with pulmonary edema
1080,0,0,yes
1082,0,0,yes
1108,20,216,l2 3
1110,20,216,l2 3
1116,0,0,yes
1118,0,0,yes
1132,135,10,axial
1175,140,19,pancreas
1177,140,140,head of pancreas
1205,104,439,both sides
1209,1,0,yes
1210,1,1,no
1238,235,439,both sides
1259,0,0,yes
1265,152,70,left kidney
1266,1,1,no
1268,1,0,yes
1273,1,0,yes
1280,40,0,yes
1282,40,40,right
1284,166,338,posterior to gastric antrum
1286,166,166,ivc
1307,0,0,yes
1309,0,0,yes
1311,82,40,right
1312,82,40,right
1330,10,10,axial
1348,63,1,no
1350,63,40,right
1375,0,0,yes
1377,0,0,yes
1379,0,0,yes
1384,175,17,diffuse
1386,175,171,infarct
1393,0,0,yes
1395,0,0,yes
1409,0,0,yes
1456,1,1,no
1461,337,324,flair
1466,10,10,axial
1467,10,10,axial
1476,185,316,in midline
1478,185,40,right
1480,186,186,3.4 cm
1482,186,0,yes
1492,116,70,left kidney
1493,116,129,pres
1500,1,1,no
1502,1,1,no
1506,0,1,no
1507,8,98,calcifications
1512,189,162,subarachnoid
1514,189,0,yes
1529,192,183,cerebellum
1531,192,183,cerebellum
1540,1,1,no
1542,1,1,no
1548,1,0,yes
1549,48,329,right subclavian vein
1551,48,329,right subclavian vein
1578,196,40,right
1580,196,144,4th ventricle
1616,1,1,no
1618,1,1,no
1622,199,1,no
1624,199,1,no
1626,8,18,ct
1627,18,439,both sides
1628,18,18,ct
1630,20,439,both sides
1632,20,373,biopsy
1651,93,316,in midline
1652,200,183,cerebellum
1654,201,183,cerebellum
1678,1,1,no
1680,1,1,no
1686,0,0,yes
1688,0,1,no
1701,203,204,ribs
1703,0,0,yes
1721,116,40,right
1722,116,130,cardiomegaly with pulmonary edema
1736,1,0,yes
1738,0,0,yes
1753,1,1,no
1755,1,1,no
1758,109,216,l2 3
1768,0,1,no
1781,1,1,no
1783,1,1,no
1810,218,266,nodules
1812,218,434,sharp costophrenic angles
1850,1,0,yes
1851,1,1,no
1853,219,160,aorta
1867,0,1,no
1872,40,40,right
1874,40,40,right
1884,204,204,ribs
1886,204,204,ribs
1888,1,1,no
1890,1,1,no
1892,1,1,no
1894,1,1,no
1910,1,1,no
1912,1,1,no
1930,1,1,no
1932,1,1,no
1943,0,1,no
1945,0,0,yes
1951,1,0,yes
1968,0,0,yes
1982,10,10,axial
2001,231,243,hyperintense
2003,231,183,cerebellum
2005,1,1,no
2007,1,1,no
2035,1,0,yes
2037,1,1,no
2043,1,1,no
2045,1,1,no
2082,0,0,yes
2084,0,0,yes
2094,245,335,diverticuli
2096,245,77,right lower lobe
2121,10,10,axial
2135,0,0,yes
2137,0,0,yes
2143,39,243,hyperintense
2144,0,0,yes
2158,0,0,yes
2160,0,0,yes
2166,253,316,in midline
2168,253,253,left aca and mca
2185,8,8,brain
2187,254,160,aorta
2203,1,1,no
2205,1,1,no
2223,8,8,brain
2224,8,335,diverticuli
2226,260,260,kidney cyst
2228,260,324,flair
2254,1,0,yes
2256,1,0,yes
2257,1,0,yes
2259,1,1,no
2261,1,1,no
2263,1,0,yes
2268,10,10,axial
